name,HOMFLY
11a_1,(v^(-2)-1+2*v^4-v^6)+(v^(-2)-3+3*v^4-v^6)*z^2+(-2+v^2+2*v^4-v^6)*z^4+(v^2+v^4)*z^6
11a_2,(v^2+2*v^4-4*v^6+3*v^8-v^10)+(2*v^2+2*v^4-7*v^6+6*v^8-v^10)*z^2+(v^2-v^4-6*v^6+3*v^8)*z^4+(-v^4-2*v^6)*z^6
11a_3,(-3*v^(-6)+8*v^(-4)-7*v^(-2)+3)+(-3*v^(-6)+15*v^(-4)-17*v^(-2)+6)*z^2+(-v^(-6)+9*v^(-4)-15*v^(-2)+4)*z^4+(2*v^(-4)-6*v^(-2)+1)*z^6+(-v^(-2))*z^8
11a_4,(-v^(-6)+2*v^(-4)-1+v^2)+(-v^(-6)+4*v^(-4)-v^(-2)-4+2*v^2)*z^2+(2*v^(-4)-2*v^(-2)-3+v^2)*z^4+(-v^(-2)-1)*z^6
11a_5,(v^(-6)-2*v^(-4)+3*v^(-2)-3+2*v^2)+(-3*v^(-4)+4*v^(-2)-5+2*v^2-v^4)*z^2+(3*v^(-2)-2+2*v^2)*z^4+(-1)*z^6
11a_6,(v^(-2)-1+2*v^2-2*v^4+v^6)+(v^(-2)-3+v^2-v^4)*z^2+(-2+v^2+v^4-v^6)*z^4+(v^2+v^4)*z^6
11a_7,(-2*v^(-6)+6*v^(-4)-6*v^(-2)+3)+(-3*v^(-6)+13*v^(-4)-15*v^(-2)+5)*z^2+(-v^(-6)+9*v^(-4)-14*v^(-2)+4)*z^4+(2*v^(-4)-6*v^(-2)+1)*z^6+(-v^(-2))*z^8
11a_8,(-v^(-6)+3*v^(-4)-2*v^(-2)+v^2)+(-v^(-6)+4*v^(-4)-3*v^(-2)-2+v^2)*z^2+(2*v^(-4)-2*v^(-2)-2+v^2)*z^4+(-v^(-2)-1)*z^6
11a_9,(3-6*v^2+6*v^4-2*v^6)+(4-14*v^2+14*v^4-4*v^6)*z^2+(1-10*v^2+13*v^4-4*v^6)*z^4+(-2*v^2+6*v^4-v^6)*z^6+(v^4)*z^8
11a_10,(v^(-2)-2*v^2+3*v^4-v^6)+(v^(-2)-3-2*v^2+5*v^4-2*v^6)*z^2+(-2+v^2+3*v^4-v^6)*z^4+(v^2+v^4)*z^6
11a_11,(-v^(-4)+3*v^(-2)-2+v^2)+(-v^(-4)+4*v^(-2)-3-v^2+v^4)*z^2+(2*v^(-2)-2-2*v^2+v^4)*z^4+(-1-v^2)*z^6
11a_12,(2*v^(-2)-3+2*v^2)+(v^(-2)-5+2*v^2+v^4-v^6)*z^2+(-2+2*v^2+2*v^4-v^6)*z^4+(v^2+v^4)*z^6
11a_13,(v^(-4)-v^(-2)+1-v^2+v^4)+(-2*v^(-2)-v^2+v^4-v^6)*z^2+(1+v^2+v^4)*z^4
11a_14,(-4*v^(-2)+10-6*v^2+v^4)+(-7*v^(-2)+20-12*v^2+2*v^4)*z^2+(-4*v^(-2)+16-8*v^2+v^4)*z^4+(-v^(-2)+6-2*v^2)*z^6+(1)*z^8
11a_15,(3*v^(-4)-8*v^(-2)+8-2*v^2)+(6*v^(-4)-18*v^(-2)+14-3*v^2)*z^2+(4*v^(-4)-15*v^(-2)+9-v^2)*z^4+(v^(-4)-6*v^(-2)+2)*z^6+(-v^(-2))*z^8
11a_16,(2*v^(-4)-3*v^(-2)+3*v^2-v^4)+(2*v^(-4)-5*v^(-2)-2+4*v^2-v^4)*z^2+(v^(-4)-3*v^(-2)-2+2*v^2)*z^4+(-v^(-2)-1)*z^6
11a_17,(v^(-2)-v^2+2*v^6-v^8)+(v^(-2)-2-3*v^4+3*v^6)*z^2+(-2+v^2-3*v^4)*z^4+(v^2)*z^6
11a_18,(-1+v^2+5*v^4-5*v^6+v^8)+(-2+2*v^2+10*v^4-7*v^6+v^8)*z^2+(-1+2*v^2+7*v^4-3*v^6)*z^4+(v^2+2*v^4)*z^6
11a_19,(3-5*v^2+4*v^4-v^6)+(4-12*v^2+9*v^4-2*v^6)*z^2+(3-11*v^2+7*v^4-v^6)*z^4+(1-5*v^2+2*v^4)*z^6+(-v^2)*z^8
11a_20,(2*v^2+v^4-5*v^6+4*v^8-v^10)+(3*v^2-9*v^6+7*v^8-v^10)*z^2+(v^2-2*v^4-7*v^6+3*v^8)*z^4+(-v^4-2*v^6)*z^6
11a_21,(1+v^2-v^4-2*v^6+3*v^8-v^10)+(1-2*v^4-3*v^6+3*v^8)*z^2+(-v^2-2*v^4-2*v^6)*z^4
11a_22,(-2*v^2+9*v^4-8*v^6+2*v^8)+(-5*v^2+19*v^4-14*v^6+3*v^8)*z^2+(-4*v^2+15*v^4-9*v^6+v^8)*z^4+(-v^2+6*v^4-2*v^6)*z^6+(v^4)*z^8
11a_23,(-1+3*v^2+v^4-3*v^6+v^8)+(-2+5*v^2+2*v^4-4*v^6+v^8)*z^2+(-1+3*v^2+2*v^4-2*v^6)*z^4+(v^2+v^4)*z^6
11a_24,(-2*v^(-2)+6-4*v^2+v^4)+(-4*v^(-2)+12-9*v^2+2*v^4)*z^2+(-3*v^(-2)+11-7*v^2+v^4)*z^4+(-v^(-2)+5-2*v^2)*z^6+(1)*z^8
11a_25,(3-5*v^2+4*v^4-v^6)+(4-12*v^2+9*v^4-2*v^6)*z^2+(3-11*v^2+7*v^4-v^6)*z^4+(1-5*v^2+2*v^4)*z^6+(-v^2)*z^8
11a_26,(-2*v^(-2)+6-4*v^2+v^4)+(-4*v^(-2)+12-9*v^2+2*v^4)*z^2+(-3*v^(-2)+11-7*v^2+v^4)*z^4+(-v^(-2)+5-2*v^2)*z^6+(1)*z^8
11a_27,(v^(-6)-3*v^(-4)+3*v^(-2))+(v^(-8)-v^(-6)-3*v^(-4)+4*v^(-2)-1)*z^2+(-2*v^(-6)+2*v^(-2)-1)*z^4+(v^(-4)+v^(-2))*z^6
